Front,Back,Note
bajo,niedrig,
fuerte,stark,
débil,schwach,
fácil,einfach,
difícil,schwer,
posible,möglich,
importante,wichtig,
rojo,rot,
azul,blau,
verde,grün,
amarillo,gelb,
blanco,weiß,
negro,schwarz,
gris,grau,
uno,eins,
dos,zwei,
tres,drei,
cuatro,vier,
cinco,fünf,
seis,sechs,
siete,sieben,
ocho,acht,
nueve,neun,
diez,zehn,
lunes,Montag,
martes,Dienstag,
miércoles,Mittwoch,
enero,Januar,
febrero,Februar,
marzo,März,
abril,April,
mayo,Mai,
junio,Juni,
julio,Juli,
agosto,August,
septiembre,September,
octubre,Oktober,
noviembre,November,
diciembre,Dezember,
gracias,danke,
por favor,bitte,
hola,hallo,
adiós,auf Wiedersehen,
sí,ja,
no,nein,
el,der,
la,die,
los,die,
las,die,
un,ein,
una,eine,
y,und,
ser,sein,
estar,sein,
tener,haben,
hacer,machen,
de,von,
a,zu,
en,in,
que,dass,
con,mit,
por,durch,
para,für,
sin,ohne,
sobre,über,
entre,zwischen,
yo,ich,
él,er,
ella,sie,
nosotros,wir,
vosotros,ihr,
ellos,sie,
su,sein,
tu,dein,
mi,mein,
no,nicht,
más,mehr,
muy,sehr,
bien,gut,
también,auch,
como,wie,
pero,aber,
o,oder,
si,wenn,
hombre,Mann,
mujer,Frau,
niño,Kind,
padre,Vater,
madre,Mutter,
hermano,Bruder,
hermana,Schwester,
amigo,Freund,
vida,Leben,
día,Tag,
año,Jahr,
tiempo,Zeit,
hora,Stunde,
noche,Nacht,
casa,Haus,
ciudad,Stadt,
país,Land,
mundo,Welt,
trabajo,Arbeit,
dinero,Geld,
agua,Wasser,
pan,Brot,
café,Kaffee,
leche,Milch,
vino,Wein,
cerveza,Bier,
cosa,Ding,
parte,Teil,
nombre,Name,
número,Nummer,
mano,Hand,
ojo,Auge,
cabeza,Kopf,
puerta,Tür,
ventana,Fenster,
mesa,Tisch,
silla,Stuhl,
cama,Bett,
cocina,Küche,
habitación,Zimmer,
calle,Straße,
escuela,Schule,
oficina,Büro,
coche,Auto,
tren,Zug,
avión,Flugzeug,
ir,gehen,
venir,kommen,
decir,sagen,
ver,sehen,
saber,wissen,
poder,können,
querer,wollen,
tomar,nehmen,
dar,geben,
poner,stellen,
encontrar,finden,
gran,groß,
pequeño,klein,
nuevo,neu,
bueno,gut,
malo,schlecht,
bello,schön,
viejo,alt,
joven,jung,
largo,lang,
corto,kurz,
alto,hoch,
bajo,niedrig,
fuerte,stark,
débil,schwach,
fácil,einfach,
difícil,schwer,
posible,möglich,
importante,wichtig,
rojo,rot,
azul,blau,
verde,grün,
amarillo,gelb,
blanco,weiß,
negro,schwarz,
gris,grau,
uno,eins,
dos,zwei,
tres,drei,
cuatro,vier,
cinco,fünf,
seis,sechs,
siete,sieben,
ocho,acht,
nueve,neun,
diez,zehn,
lunes,Montag,
martes,Dienstag,
miércoles,Mittwoch,
enero,Januar,
febrero,Februar,
marzo,März,
abril,April,
mayo,Mai,
junio,Juni,
julio,Juli,
agosto,August,
septiembre,September,
octubre,Oktober,
noviembre,November,
diciembre,Dezember,
gracias,danke,
por favor,bitte,
hola,hallo,
adiós,auf Wiedersehen,
sí,ja,
no,nein,
el,der,
la,die,
los,die,
las,die,
un,ein,
una,eine,
y,und,
ser,sein,
estar,sein,
tener,haben,
hacer,machen,
de,von,
a,zu,
en,in,
que,dass,
con,mit,
por,durch,
para,für,
sin,ohne,
sobre,über,
entre,zwischen,
yo,ich,
él,er,
ella,sie,
nosotros,wir,
vosotros,ihr,
ellos,sie,
su,sein,
tu,dein,
mi,mein,
no,nicht,
más,mehr,
muy,sehr,
bien,gut,
también,auch,
como,wie,
pero,aber,
o,oder,
si,wenn,
hombre,Mann,
mujer,Frau,
niño,Kind,
padre,Vater,
madre,Mutter,
hermano,Bruder,
hermana,Schwester,
amigo,Freund,
vida,Leben,
día,Tag,
año,Jahr,
tiempo,Zeit,
hora,Stunde,
noche,Nacht,
casa,Haus,
ciudad,Stadt,
país,Land,
mundo,Welt,
trabajo,Arbeit,
dinero,Geld,
agua,Wasser,
pan,Brot,
café,Kaffee,
leche,Milch,
vino,Wein,
cerveza,Bier,
cosa,Ding,
parte,Teil,
nombre,Name,
número,Nummer,
mano,Hand,
ojo,Auge,
cabeza,Kopf,
puerta,Tür,
ventana,Fenster,
mesa,Tisch,
silla,Stuhl,
cama,Bett,
cocina,Küche,
habitación,Zimmer,
calle,Straße,
escuela,Schule,
oficina,Büro,
coche,Auto,
tren,Zug,
avión,Flugzeug,
ir,gehen,
venir,kommen,
decir,sagen,
ver,sehen,
saber,wissen,
poder,können,
querer,wollen,
tomar,nehmen,
dar,geben,
poner,stellen,
encontrar,finden,
gran,groß,
pequeño,klein,
nuevo,neu,
bueno,gut,
malo,schlecht,
bello,schön,
viejo,alt,
joven,jung,
largo,lang,
corto,kurz,
alto,hoch,
bajo,niedrig,
fuerte,stark,
débil,schwach,
fácil,einfach,
difícil,schwer,
posible,möglich,
importante,wichtig,
rojo,rot,
azul,blau,
verde,grün,
amarillo,gelb,
blanco,weiß,
negro,schwarz,
gris,grau,
uno,eins,
dos,zwei,
tres,drei,
cuatro,vier,
cinco,fünf,
seis,sechs,
siete,sieben,
ocho,acht,
nueve,neun,
diez,zehn,
lunes,Montag,
martes,Dienstag,
miércoles,Mittwoch,
enero,Januar,
febrero,Februar,
marzo,März,
abril,April,
mayo,Mai,
junio,Juni,
julio,Juli,
agosto,August,
septiembre,September,
octubre,Oktober,
noviembre,November,
diciembre,Dezember,
gracias,danke,
por favor,bitte,
hola,hallo,
adiós,auf Wiedersehen,
sí,ja,
no,nein,
el,der,
la,die,
los,die,
las,die,
un,ein,
una,eine,
y,und,
ser,sein,
estar,sein,
tener,haben,
hacer,machen,
de,von,
a,zu,
en,in,
que,dass,
con,mit,
por,durch,
para,für,
sin,ohne,
sobre,über,
entre,zwischen,
yo,ich,
él,er,
ella,sie,
nosotros,wir,
vosotros,ihr,
ellos,sie,
su,sein,
tu,dein,
mi,mein,
no,nicht,
más,mehr,
muy,sehr,
bien,gut,
también,auch,
como,wie,
pero,aber,
o,oder,
si,wenn,
hombre,Mann,
mujer,Frau,
niño,Kind,
padre,Vater,
madre,Mutter,
hermano,Bruder,
hermana,Schwester,
amigo,Freund,
vida,Leben,
día,Tag,
año,Jahr,
tiempo,Zeit,
hora,Stunde,
noche,Nacht,
casa,Haus,
ciudad,Stadt,
país,Land,
mundo,Welt,
trabajo,Arbeit,
dinero,Geld,
agua,Wasser,
pan,Brot,
café,Kaffee,
leche,Milch,
vino,Wein,
cerveza,Bier,
cosa,Ding,
parte,Teil,
nombre,Name,
número,Nummer,
mano,Hand,
ojo,Auge,
cabeza,Kopf,
puerta,Tür,
ventana,Fenster,
mesa,Tisch,
silla,Stuhl,
cama,Bett,
cocina,Küche,
habitación,Zimmer,
calle,Straße,
escuela,Schule,
oficina,Büro,
coche,Auto,
tren,Zug,
avión,Flugzeug,
ir,gehen,
venir,kommen,
decir,sagen,
ver,sehen,
saber,wissen,
poder,können,
querer,wollen,
tomar,nehmen,
dar,geben,
poner,stellen,
encontrar,finden,
gran,groß,
pequeño,klein,
nuevo,neu,
bueno,gut,
malo,schlecht,
bello,schön,
viejo,alt,
joven,jung,
largo,lang,
corto,kurz,
alto,hoch,
bajo,niedrig,
fuerte,stark,
débil,schwach,
fácil,einfach,
difícil,schwer,
posible,möglich,
importante,wichtig,
rojo,rot,
azul,blau,
verde,grün,
amarillo,gelb,
blanco,weiß,
negro,schwarz,
gris,grau,
uno,eins,
dos,zwei,
tres,drei,
cuatro,vier,
cinco,fünf,
seis,sechs,
siete,sieben,
ocho,acht,
nueve,neun,
diez,zehn,
lunes,Montag,
martes,Dienstag,
miércoles,Mittwoch,
enero,Januar,
febrero,Februar,
marzo,März,
abril,April,
mayo,Mai,
junio,Juni,
julio,Juli,
agosto,August,
septiembre,September,
octubre,Oktober,
noviembre,November,
diciembre,Dezember,
gracias,danke,
por favor,bitte,
hola,hallo,
adiós,auf Wiedersehen,
sí,ja,
no,nein,
el,der,
la,die,
los,die,
las,die,
un,ein,
una,eine,
y,und,
ser,sein,
estar,sein,
tener,haben,
hacer,machen,
de,von,
a,zu,
en,in,
que,dass,
con,mit,
por,durch,
para,für,
sin,ohne,
sobre,über,
entre,zwischen,
yo,ich,
él,er,
ella,sie,
nosotros,wir,
vosotros,ihr,
ellos,sie,
su,sein,
tu,dein,
mi,mein,
no,nicht,
más,mehr,
muy,sehr,
bien,gut,
también,auch,
como,wie,
pero,aber,
o,oder,
si,wenn,
hombre,Mann,
mujer,Frau,
niño,Kind,
padre,Vater,
madre,Mutter,
hermano,Bruder,
hermana,Schwester,
amigo,Freund,
vida,Leben,
día,Tag,
año,Jahr,
tiempo,Zeit,
hora,Stunde,
noche,Nacht,
casa,Haus,
ciudad,Stadt,
país,Land,
mundo,Welt,
trabajo,Arbeit,
dinero,Geld,
agua,Wasser,
pan,Brot,
café,Kaffee,
leche,Milch,
vino,Wein,
cerveza,Bier,
cosa,Ding,
parte,Teil,
nombre,Name,
número,Nummer,
mano,Hand,
ojo,Auge,
cabeza,Kopf,
puerta,Tür,
ventana,Fenster,
mesa,Tisch,
silla,Stuhl,
cama,Bett,
cocina,Küche,
habitación,Zimmer,
calle,Straße,
escuela,Schule,
oficina,Büro,
coche,Auto,
tren,Zug,
avión,Flugzeug,
ir,gehen,
venir,kommen,
decir,sagen,
ver,sehen,
saber,wissen,
poder,können,
querer,wollen,
tomar,nehmen,
dar,geben,
poner,stellen,
encontrar,finden,
gran,groß,
pequeño,klein,
nuevo,neu,
bueno,gut,
malo,schlecht,
bello,schön,
viejo,alt,
joven,jung,
largo,lang,
corto,kurz,
alto,hoch,
bajo,niedrig,
fuerte,stark,
débil,schwach,
fácil,einfach,
difícil,schwer,
posible,möglich,
importante,wichtig,
rojo,rot,
azul,blau,
verde,grün,
amarillo,gelb,
blanco,weiß,
negro,schwarz,
gris,grau,
uno,eins,
dos,zwei,
tres,drei,
cuatro,vier,
cinco,fünf,
seis,sechs,
siete,sieben,
ocho,acht,
nueve,neun,
diez,zehn,
lunes,Montag,
martes,Dienstag,
miércoles,Mittwoch,
enero,Januar,
febrero,Februar,
marzo,März,
abril,April,
mayo,Mai,
junio,Juni,
julio,Juli,
agosto,August,
septiembre,September,
octubre,Oktober,
noviembre,November,
diciembre,Dezember,
gracias,danke,
por favor,bitte,
hola,hallo,
adiós,auf Wiedersehen,
sí,ja,
no,nein,
el,der,
la,die,
los,die,
las,die,
un,ein,
una,eine,
y,und,
ser,sein,
estar,sein,
tener,haben,
hacer,machen,
de,von,
a,zu,
en,in,
que,dass,
con,mit,
por,durch,
para,für,
sin,ohne,
sobre,über,
entre,zwischen,
yo,ich,
él,er,
ella,sie,
nosotros,wir,
vosotros,ihr,
ellos,sie,
su,sein,
tu,dein,
mi,mein,
no,nicht,
más,mehr,
muy,sehr,
bien,gut,
también,auch,
como,wie,
pero,aber,
o,oder,
si,wenn,
hombre,Mann,
mujer,Frau,
niño,Kind,
padre,Vater,
madre,Mutter,
hermano,Bruder,
hermana,Schwester,
amigo,Freund,
vida,Leben,
día,Tag,
año,Jahr,
tiempo,Zeit,
hora,Stunde,
noche,Nacht,
casa,Haus,
ciudad,Stadt,
país,Land,
mundo,Welt,
trabajo,Arbeit,
dinero,Geld,
agua,Wasser,
pan,Brot,
café,Kaffee,
leche,Milch,
vino,Wein,
cerveza,Bier,
cosa,Ding,
parte,Teil,
nombre,Name,
número,Nummer,
mano,Hand,
ojo,Auge,
cabeza,Kopf,
puerta,Tür,
ventana,Fenster,
mesa,Tisch,
silla,Stuhl,
cama,Bett,
cocina,Küche,
habitación,Zimmer,
calle,Straße,
escuela,Schule,
oficina,Büro,
coche,Auto,
tren,Zug,
avión,Flugzeug,
ir,gehen,
venir,kommen,
decir,sagen,
ver,sehen,
saber,wissen,
poder,können,
querer,wollen,
tomar,nehmen,
dar,geben,
poner,stellen,
encontrar,finden,
gran,groß,
pequeño,klein,
nuevo,neu,
bueno,gut,
malo,schlecht,
bello,schön,
viejo,alt,
joven,jung,
largo,lang,
corto,kurz,
alto,hoch,
bajo,niedrig,
fuerte,stark,
débil,schwach,
fácil,einfach,
difícil,schwer,
posible,möglich,
importante,wichtig,
rojo,rot,
azul,blau,
verde,grün,
amarillo,gelb,
blanco,weiß,
negro,schwarz,
gris,grau,
uno,eins,
dos,zwei,
tres,drei,
cuatro,vier,
cinco,fünf,
seis,sechs,
siete,sieben,
ocho,acht,
nueve,neun,
diez,zehn,
lunes,Montag,
martes,Dienstag,
miércoles,Mittwoch,
enero,Januar,
febrero,Februar,
marzo,März,
abril,April,
mayo,Mai,
junio,Juni,
julio,Juli,
agosto,August,
septiembre,September,
octubre,Oktober,
noviembre,November,
diciembre,Dezember,
gracias,danke,
por favor,bitte,
hola,hallo,
adiós,auf Wiedersehen,
sí,ja,
no,nein,
el,der,
la,die,
los,die,
las,die,
un,ein,
una,eine,
y,und,
ser,sein,
estar,sein,
tener,haben,
hacer,machen,
de,von,
a,zu,
en,in,
que,dass,
con,mit,
por,durch,
para,für,
sin,ohne,
sobre,über,
entre,zwischen,
yo,ich,
él,er,
ella,sie,
nosotros,wir,
vosotros,ihr,
ellos,sie,
su,sein,
tu,dein,
mi,mein,
no,nicht,
más,mehr,
muy,sehr,
bien,gut,
también,auch,
como,wie,
pero,aber,
o,oder,
si,wenn,
hombre,Mann,
mujer,Frau,
niño,Kind,
padre,Vater,
madre,Mutter,
hermano,Bruder,
hermana,Schwester,
amigo,Freund,
vida,Leben,
día,Tag,
año,Jahr,
tiempo,Zeit,
hora,Stunde,
noche,Nacht,
casa,Haus,
ciudad,Stadt,
país,Land,
mundo,Welt,
trabajo,Arbeit,
dinero,Geld,
agua,Wasser,
pan,Brot,
café,Kaffee,
leche,Milch,
vino,Wein,
cerveza,Bier,
cosa,Ding,
parte,Teil,
nombre,Name,
número,Nummer,
mano,Hand,
ojo,Auge,
cabeza,Kopf,
puerta,Tür,
ventana,Fenster,
mesa,Tisch,
silla,Stuhl,
cama,Bett,
cocina,Küche,
habitación,Zimmer,
calle,Straße,
escuela,Schule,
oficina,Büro,
coche,Auto,
tren,Zug,
avión,Flugzeug,
ir,gehen,
venir,kommen,
decir,sagen,
ver,sehen,
saber,wissen,
poder,können,
querer,wollen,
tomar,nehmen,
dar,geben,
poner,stellen,
encontrar,finden,
gran,groß,
pequeño,klein,
nuevo,neu,
bueno,gut,
malo,schlecht,
bello,schön,
viejo,alt,
joven,jung,
largo,lang,
corto,kurz,
alto,hoch,
bajo,niedrig,
fuerte,stark,
débil,schwach,
fácil,einfach,
difícil,schwer,
posible,möglich,
importante,wichtig,
rojo,rot,
azul,blau,
verde,grün,
amarillo,gelb,
blanco,weiß,
negro,schwarz,
gris,grau,
uno,eins,
dos,zwei,
tres,drei,
cuatro,vier,
cinco,fünf,
seis,sechs,
siete,sieben,
ocho,acht,
nueve,neun,
diez,zehn,
lunes,Montag,
martes,Dienstag,
miércoles,Mittwoch,
enero,Januar,
febrero,Februar,
marzo,März,
abril,April,
mayo,Mai,
junio,Juni,
julio,Juli,
agosto,August,
septiembre,September,
octubre,Oktober,
noviembre,November,
diciembre,Dezember,
gracias,danke,
por favor,bitte,
hola,hallo,
adiós,auf Wiedersehen,
sí,ja,
no,nein,
el,der,
la,die,
los,die,
las,die,
un,ein,
una,eine,
y,und,
ser,sein,
estar,sein,
tener,haben,
hacer,machen,
de,von,
a,zu,
en,in,
que,dass,
con,mit,
por,durch,
para,für,
sin,ohne,
sobre,über,
entre,zwischen,
yo,ich,
él,er,
ella,sie,
nosotros,wir,
vosotros,ihr,
ellos,sie,
su,sein,
tu,dein,
mi,mein,
no,nicht,
más,mehr,
muy,sehr,
bien,gut,
también,auch,
como,wie,
pero,aber,
o,oder,
si,wenn,
hombre,Mann,
mujer,Frau,
niño,Kind,
padre,Vater,
madre,Mutter,
hermano,Bruder,
hermana,Schwester,
amigo,Freund,
vida,Leben,
día,Tag,
año,Jahr,
tiempo,Zeit,
hora,Stunde,
noche,Nacht,
casa,Haus,
ciudad,Stadt,
país,Land,
mundo,Welt,
trabajo,Arbeit,
dinero,Geld,
agua,Wasser,
pan,Brot,
café,Kaffee,
leche,Milch,
vino,Wein,
cerveza,Bier,
cosa,Ding,
parte,Teil,
nombre,Name,
número,Nummer,
mano,Hand,
ojo,Auge,
cabeza,Kopf,
puerta,Tür,
ventana,Fenster,
mesa,Tisch,
silla,Stuhl,
cama,Bett,
cocina,Küche,
habitación,Zimmer,
calle,Straße,
escuela,Schule,
oficina,Büro,
coche,Auto,
tren,Zug,
avión,Flugzeug,
ir,gehen,
venir,kommen,
decir,sagen,
ver,sehen,
saber,wissen,
poder,können,
querer,wollen,
tomar,nehmen,
dar,geben,
poner,stellen,
encontrar,finden,
gran,groß,
pequeño,klein,
nuevo,neu,
bueno,gut,
malo,schlecht,
bello,schön,
viejo,alt,
joven,jung,
largo,lang,
corto,kurz,
alto,hoch,
bajo,niedrig,
fuerte,stark,
débil,schwach,
fácil,einfach,
difícil,schwer,
posible,möglich,
importante,wichtig,
rojo,rot,
azul,blau,
verde,grün,
amarillo,gelb,
blanco,weiß,
negro,schwarz,
gris,grau,
uno,eins,
dos,zwei,
tres,drei,
cuatro,vier,
cinco,fünf,
seis,sechs,
siete,sieben,
ocho,acht,
nueve,neun,
diez,zehn,
lunes,Montag,
martes,Dienstag,
miércoles,Mittwoch,
enero,Januar,
febrero,Februar,
marzo,März,
abril,April,
mayo,Mai,
junio,Juni,
julio,Juli,
agosto,August,
septiembre,September,
octubre,Oktober,
noviembre,November,
diciembre,Dezember,
gracias,danke,
por favor,bitte,
hola,hallo,
adiós,auf Wiedersehen,
sí,ja,
no,nein,
el,der,
la,die,
los,die,
las,die,
un,ein,
una,eine,
y,und,
ser,sein,
estar,sein,
tener,haben,
hacer,machen,
de,von,
a,zu,
en,in,
que,dass,
con,mit,
por,durch,
para,für,
sin,ohne,
sobre,über,
entre,zwischen,
yo,ich,
él,er,
ella,sie,
nosotros,wir,
vosotros,ihr,
ellos,sie,
su,sein,
tu,dein,
mi,mein,
no,nicht,
más,mehr,
muy,sehr,
bien,gut,
también,auch,
como,wie,
pero,aber,
o,oder,
si,wenn,
hombre,Mann,
mujer,Frau,
niño,Kind,
padre,Vater,
madre,Mutter,
hermano,Bruder,
hermana,Schwester,
amigo,Freund,
vida,Leben,
día,Tag,
año,Jahr,
tiempo,Zeit,
hora,Stunde,
noche,Nacht,
casa,Haus,
ciudad,Stadt,
país,Land,
mundo,Welt,
trabajo,Arbeit,
dinero,Geld,
agua,Wasser,
pan,Brot,
café,Kaffee,
leche,Milch,
vino,Wein,
cerveza,Bier,
cosa,Ding,
parte,Teil,
nombre,Name,
número,Nummer,
mano,Hand,
ojo,Auge,
cabeza,Kopf,
puerta,Tür,
ventana,Fenster,
mesa,Tisch,
silla,Stuhl,
cama,Bett,
cocina,Küche,
habitación,Zimmer,
calle,Straße,
escuela,Schule,
oficina,Büro,
coche,Auto,
tren,Zug,
avión,Flugzeug,
ir,gehen,
venir,kommen,
decir,sagen,
ver,sehen,
saber,wissen,
poder,können,
querer,wollen,
tomar,nehmen,
dar,geben,
poner,stellen,
encontrar,finden,
gran,groß,
pequeño,klein,
nuevo,neu,
bueno,gut,
malo,schlecht,
bello,schön,
viejo,alt,
joven,jung,
largo,lang,
corto,kurz,
alto,hoch,
bajo,niedrig,
fuerte,stark,
débil,schwach,
fácil,einfach,
difícil,schwer,
posible,möglich,
importante,wichtig,
rojo,rot,
azul,blau,
verde,grün,
amarillo,gelb,
blanco,weiß,
negro,schwarz,
gris,grau,
uno,eins,
dos,zwei,
tres,drei,
cuatro,vier,
cinco,fünf,
seis,sechs,
siete,sieben,
ocho,acht,
nueve,neun,
diez,zehn,
lunes,Montag,
martes,Dienstag,
miércoles,Mittwoch,
enero,Januar,
febrero,Februar,
marzo,März,
abril,April,
mayo,Mai,
junio,Juni,
julio,Juli,
agosto,August,
septiembre,September,
octubre,Oktober,
noviembre,November,
diciembre,Dezember,
gracias,danke,
por favor,bitte,
hola,hallo,
adiós,auf Wiedersehen,
sí,ja,
no,nein,
el,der,
la,die,
los,die,
las,die,
un,ein,
una,eine,
y,und,
ser,sein,
estar,sein,
tener,haben,
hacer,machen,
de,von,
a,zu,
en,in,
que,dass,
con,mit,
por,durch,
para,für,
sin,ohne,
sobre,über,
entre,zwischen,
yo,ich,
él,er,
ella,sie,
nosotros,wir,
vosotros,ihr,
ellos,sie,
su,sein,
tu,dein,
mi,mein,
no,nicht,
más,mehr,
muy,sehr,
bien,gut,
también,auch,
como,wie,
pero,aber,
o,oder,
si,wenn,
hombre,Mann,
mujer,Frau,
niño,Kind,
padre,Vater,
madre,Mutter,
hermano,Bruder,
hermana,Schwester,
amigo,Freund,
vida,Leben,
día,Tag,
año,Jahr,
tiempo,Zeit,
hora,Stunde,
noche,Nacht,
casa,Haus,
ciudad,Stadt,
país,Land,
mundo,Welt,
trabajo,Arbeit,
dinero,Geld,
agua,Wasser,
pan,Brot,
café,Kaffee,
leche,Milch,
vino,Wein,
cerveza,Bier,
cosa,Ding,
parte,Teil,
nombre,Name,
número,Nummer,
mano,Hand,
ojo,Auge,
cabeza,Kopf,
puerta,Tür,
ventana,Fenster,
mesa,Tisch,
silla,Stuhl,
cama,Bett,
cocina,Küche,
habitación,Zimmer,
calle,Straße,
escuela,Schule,
oficina,Büro,
coche,Auto,
tren,Zug,
avión,Flugzeug,
ir,gehen,
venir,kommen,
decir,sagen,
ver,sehen,
saber,wissen,
poder,können,
querer,wollen,
tomar,nehmen,
dar,geben,
poner,stellen,
encontrar,finden,
gran,groß,
pequeño,klein,
nuevo,neu,
bueno,gut,
malo,schlecht,
bello,schön,
viejo,alt,
joven,jung,
largo,lang,
corto,kurz,
alto,hoch,
bajo,niedrig,
fuerte,stark,
débil,schwach,
fácil,einfach,
difícil,schwer,
posible,möglich,
importante,wichtig,
rojo,rot,
azul,blau,
verde,grün,
amarillo,gelb,
blanco,weiß,
negro,schwarz,
gris,grau,
uno,eins,
dos,zwei,
tres,drei,
cuatro,vier,
cinco,fünf,
seis,sechs,
siete,sieben,
ocho,acht,
nueve,neun,
diez,zehn,
lunes,Montag,
martes,Dienstag,
miércoles,Mittwoch,
enero,Januar,
febrero,Februar,
marzo,März,
abril,April,
mayo,Mai,
junio,Juni,
julio,Juli,
agosto,August,
septiembre,September,
octubre,Oktober,
noviembre,November,
diciembre,Dezember,
gracias,danke,
por favor,bitte,
hola,hallo,
adiós,auf Wiedersehen,
sí,ja,
no,nein,
el,der,
la,die,
los,die,
las,die,
un,ein,
una,eine,
y,und,
ser,sein,
estar,sein,
tener,haben,
hacer,machen,
de,von,
a,zu,
en,in,
que,dass,
con,mit,
por,durch,
para,für,
sin,ohne,
sobre,über,
entre,zwischen,
yo,ich,
él,er,
ella,sie,
nosotros,wir,
vosotros,ihr,
ellos,sie,
su,sein,
tu,dein,
mi,mein,
no,nicht,
más,mehr,
muy,sehr,
bien,gut,
también,auch,
como,wie,
pero,aber,
o,oder,
si,wenn,
hombre,Mann,
mujer,Frau,
niño,Kind,
padre,Vater,
madre,Mutter,
hermano,Bruder,
hermana,Schwester,
amigo,Freund,
vida,Leben,
día,Tag,
año,Jahr,
tiempo,Zeit,
hora,Stunde,
noche,Nacht,
casa,Haus,
ciudad,Stadt,
país,Land,
mundo,Welt,
trabajo,Arbeit,
dinero,Geld,
agua,Wasser,
pan,Brot,
café,Kaffee,
leche,Milch,
vino,Wein,
cerveza,Bier,
cosa,Ding,
parte,Teil,
nombre,Name,
número,Nummer,
mano,Hand,
ojo,Auge,
cabeza,Kopf,
puerta,Tür,
ventana,Fenster,
mesa,Tisch,
silla,Stuhl,
cama,Bett,
cocina,Küche,
habitación,Zimmer,
calle,Straße,
escuela,Schule,
oficina,Büro,
