Front,Back,Note
chaise,Stuhl,
lit,Bett,
cuisine,Küche,
salle,Zimmer,
rue,Straße,
école,Schule,
bureau,Büro,
voiture,Auto,
train,Zug,
avion,Flugzeug,
aller,gehen,
venir,kommen,
faire,machen,
dire,sagen,
voir,sehen,
savoir,wissen,
pouvoir,können,
vouloir,wollen,
prendre,nehmen,
donner,geben,
mettre,stellen,
trouver,finden,
grand,groß,
petit,klein,
nouveau,neu,
bon,gut,
mauvais,schlecht,
beau,schön,
vieux,alt,
jeune,jung,
long,lang,
court,kurz,
haut,hoch,
bas,niedrig,
fort,stark,
faible,schwach,
facile,einfach,
difficile,schwer,
possible,möglich,
important,wichtig,
rouge,rot,
bleu,blau,
vert,grün,
jaune,gelb,
blanc,weiß,
noir,schwarz,
gris,grau,
un,eins,
deux,zwei,
trois,drei,
quatre,vier,
cinq,fünf,
six,sechs,
sept,sieben,
huit,acht,
neuf,neun,
dix,zehn,
lundi,Montag,
mardi,Dienstag,
mercredi,Mittwoch,
janvier,Januar,
février,Februar,
mars,März,
avril,April,
mai,Mai,
juin,Juni,
juillet,Juli,
août,August,
septembre,September,
octobre,Oktober,
novembre,November,
décembre,Dezember,
merci,danke,
s'il vous plaît,bitte,
bonjour,Guten Tag,
au revoir,auf Wiedersehen,
oui,ja,
non,nein,
le,der,
la,die,
les,die,
un,ein,
une,eine,
et,und,
être,sein,
avoir,haben,
de,von,
à,zu,
en,in,
que,dass,
qui,wer,
ce,dieser,
dans,in,
du,von,
je,ich,
il,er,
elle,sie,
on,man,
nous,wir,
vous,Sie,
ils,sie,
leur,ihr,
pas,nicht,
plus,mehr,
tout,alles,
aussi,auch,
bien,gut,
très,sehr,
donc,also,
comme,wie,
mais,aber,
ou,oder,
si,wenn,
par,durch,
pour,für,
avec,mit,
sans,ohne,
sur,auf,
sous,unter,
avant,vorher,
après,nach,
entre,zwischen,
chez,bei,
homme,Mann,
femme,Frau,
enfant,Kind,
père,Vater,
mère,Mutter,
frère,Bruder,
sœur,Schwester,
ami,Freund,
vie,Leben,
jour,Tag,
an,Jahr,
temps,Zeit,
heure,Stunde,
nuit,Nacht,
maison,Haus,
ville,Stadt,
pays,Land,
monde,Welt,
travail,Arbeit,
argent,Geld,
eau,Wasser,
pain,Brot,
café,Kaffee,
lait,Milch,
vin,Wein,
bière,Bier,
chose,Ding,
part,Teil,
nom,Name,
numéro,Nummer,
main,Hand,
œil,Auge,
tête,Kopf,
porte,Tür,
fenêtre,Fenster,
table,Tisch,
chaise,Stuhl,
lit,Bett,
cuisine,Küche,
salle,Zimmer,
rue,Straße,
école,Schule,
bureau,Büro,
voiture,Auto,
train,Zug,
avion,Flugzeug,
aller,gehen,
venir,kommen,
faire,machen,
dire,sagen,
voir,sehen,
savoir,wissen,
pouvoir,können,
vouloir,wollen,
prendre,nehmen,
donner,geben,
mettre,stellen,
trouver,finden,
grand,groß,
petit,klein,
nouveau,neu,
bon,gut,
mauvais,schlecht,
beau,schön,
vieux,alt,
jeune,jung,
long,lang,
court,kurz,
haut,hoch,
bas,niedrig,
fort,stark,
faible,schwach,
facile,einfach,
difficile,schwer,
possible,möglich,
important,wichtig,
rouge,rot,
bleu,blau,
vert,grün,
jaune,gelb,
blanc,weiß,
noir,schwarz,
gris,grau,
un,eins,
deux,zwei,
trois,drei,
quatre,vier,
cinq,fünf,
six,sechs,
sept,sieben,
huit,acht,
neuf,neun,
dix,zehn,
lundi,Montag,
mardi,Dienstag,
mercredi,Mittwoch,
janvier,Januar,
février,Februar,
mars,März,
avril,April,
mai,Mai,
juin,Juni,
juillet,Juli,
août,August,
septembre,September,
octobre,Oktober,
novembre,November,
décembre,Dezember,
merci,danke,
s'il vous plaît,bitte,
bonjour,Guten Tag,
au revoir,auf Wiedersehen,
oui,ja,
non,nein,
le,der,
la,die,
les,die,
un,ein,
une,eine,
et,und,
être,sein,
avoir,haben,
de,von,
à,zu,
en,in,
que,dass,
qui,wer,
ce,dieser,
dans,in,
du,von,
je,ich,
il,er,
elle,sie,
on,man,
nous,wir,
vous,Sie,
ils,sie,
leur,ihr,
pas,nicht,
plus,mehr,
tout,alles,
aussi,auch,
bien,gut,
très,sehr,
donc,also,
comme,wie,
mais,aber,
ou,oder,
si,wenn,
par,durch,
pour,für,
avec,mit,
sans,ohne,
sur,auf,
sous,unter,
avant,vorher,
après,nach,
entre,zwischen,
chez,bei,
homme,Mann,
femme,Frau,
enfant,Kind,
père,Vater,
mère,Mutter,
frère,Bruder,
sœur,Schwester,
ami,Freund,
vie,Leben,
jour,Tag,
an,Jahr,
temps,Zeit,
heure,Stunde,
nuit,Nacht,
maison,Haus,
ville,Stadt,
pays,Land,
monde,Welt,
travail,Arbeit,
argent,Geld,
eau,Wasser,
pain,Brot,
café,Kaffee,
lait,Milch,
vin,Wein,
bière,Bier,
chose,Ding,
part,Teil,
nom,Name,
numéro,Nummer,
main,Hand,
œil,Auge,
tête,Kopf,
porte,Tür,
fenêtre,Fenster,
table,Tisch,
chaise,Stuhl,
lit,Bett,
cuisine,Küche,
salle,Zimmer,
rue,Straße,
école,Schule,
bureau,Büro,
voiture,Auto,
train,Zug,
avion,Flugzeug,
aller,gehen,
venir,kommen,
faire,machen,
dire,sagen,
voir,sehen,
savoir,wissen,
pouvoir,können,
vouloir,wollen,
prendre,nehmen,
donner,geben,
mettre,stellen,
trouver,finden,
grand,groß,
petit,klein,
nouveau,neu,
bon,gut,
mauvais,schlecht,
beau,schön,
vieux,alt,
jeune,jung,
long,lang,
court,kurz,
haut,hoch,
bas,niedrig,
fort,stark,
faible,schwach,
facile,einfach,
difficile,schwer,
possible,möglich,
important,wichtig,
rouge,rot,
bleu,blau,
vert,grün,
jaune,gelb,
blanc,weiß,
noir,schwarz,
gris,grau,
un,eins,
deux,zwei,
trois,drei,
quatre,vier,
cinq,fünf,
six,sechs,
sept,sieben,
huit,acht,
neuf,neun,
dix,zehn,
lundi,Montag,
mardi,Dienstag,
mercredi,Mittwoch,
janvier,Januar,
février,Februar,
mars,März,
avril,April,
mai,Mai,
juin,Juni,
juillet,Juli,
août,August,
septembre,September,
octobre,Oktober,
novembre,November,
décembre,Dezember,
merci,danke,
s'il vous plaît,bitte,
bonjour,Guten Tag,
au revoir,auf Wiedersehen,
oui,ja,
non,nein,
le,der,
la,die,
les,die,
un,ein,
une,eine,
et,und,
être,sein,
avoir,haben,
de,von,
à,zu,
en,in,
que,dass,
qui,wer,
ce,dieser,
dans,in,
du,von,
je,ich,
il,er,
elle,sie,
on,man,
nous,wir,
vous,Sie,
ils,sie,
leur,ihr,
pas,nicht,
plus,mehr,
tout,alles,
aussi,auch,
bien,gut,
très,sehr,
donc,also,
comme,wie,
mais,aber,
ou,oder,
si,wenn,
par,durch,
pour,für,
avec,mit,
sans,ohne,
sur,auf,
sous,unter,
avant,vorher,
après,nach,
entre,zwischen,
chez,bei,
homme,Mann,
femme,Frau,
enfant,Kind,
père,Vater,
mère,Mutter,
frère,Bruder,
sœur,Schwester,
ami,Freund,
vie,Leben,
jour,Tag,
an,Jahr,
temps,Zeit,
heure,Stunde,
nuit,Nacht,
maison,Haus,
ville,Stadt,
pays,Land,
monde,Welt,
travail,Arbeit,
argent,Geld,
eau,Wasser,
pain,Brot,
café,Kaffee,
lait,Milch,
vin,Wein,
bière,Bier,
chose,Ding,
part,Teil,
nom,Name,
numéro,Nummer,
main,Hand,
œil,Auge,
tête,Kopf,
porte,Tür,
fenêtre,Fenster,
table,Tisch,
chaise,Stuhl,
lit,Bett,
cuisine,Küche,
salle,Zimmer,
rue,Straße,
école,Schule,
bureau,Büro,
voiture,Auto,
train,Zug,
avion,Flugzeug,
aller,gehen,
venir,kommen,
faire,machen,
dire,sagen,
voir,sehen,
savoir,wissen,
pouvoir,können,
vouloir,wollen,
prendre,nehmen,
donner,geben,
mettre,stellen,
trouver,finden,
grand,groß,
petit,klein,
nouveau,neu,
bon,gut,
mauvais,schlecht,
beau,schön,
vieux,alt,
jeune,jung,
long,lang,
court,kurz,
haut,hoch,
bas,niedrig,
fort,stark,
faible,schwach,
facile,einfach,
difficile,schwer,
possible,möglich,
important,wichtig,
rouge,rot,
bleu,blau,
vert,grün,
jaune,gelb,
blanc,weiß,
noir,schwarz,
gris,grau,
un,eins,
deux,zwei,
trois,drei,
quatre,vier,
cinq,fünf,
six,sechs,
sept,sieben,
huit,acht,
neuf,neun,
dix,zehn,
lundi,Montag,
mardi,Dienstag,
mercredi,Mittwoch,
janvier,Januar,
février,Februar,
mars,März,
avril,April,
mai,Mai,
juin,Juni,
juillet,Juli,
août,August,
septembre,September,
octobre,Oktober,
novembre,November,
décembre,Dezember,
merci,danke,
s'il vous plaît,bitte,
bonjour,Guten Tag,
au revoir,auf Wiedersehen,
oui,ja,
non,nein,
le,der,
la,die,
les,die,
un,ein,
une,eine,
et,und,
être,sein,
avoir,haben,
de,von,
à,zu,
en,in,
que,dass,
qui,wer,
ce,dieser,
dans,in,
du,von,
je,ich,
il,er,
elle,sie,
on,man,
nous,wir,
vous,Sie,
ils,sie,
leur,ihr,
pas,nicht,
plus,mehr,
tout,alles,
aussi,auch,
bien,gut,
très,sehr,
donc,also,
comme,wie,
mais,aber,
ou,oder,
si,wenn,
par,durch,
pour,für,
avec,mit,
sans,ohne,
sur,auf,
sous,unter,
avant,vorher,
après,nach,
entre,zwischen,
chez,bei,
homme,Mann,
femme,Frau,
enfant,Kind,
père,Vater,
mère,Mutter,
frère,Bruder,
sœur,Schwester,
ami,Freund,
vie,Leben,
jour,Tag,
an,Jahr,
temps,Zeit,
heure,Stunde,
nuit,Nacht,
maison,Haus,
ville,Stadt,
pays,Land,
monde,Welt,
travail,Arbeit,
argent,Geld,
eau,Wasser,
pain,Brot,
café,Kaffee,
lait,Milch,
vin,Wein,
bière,Bier,
chose,Ding,
part,Teil,
nom,Name,
numéro,Nummer,
main,Hand,
œil,Auge,
tête,Kopf,
porte,Tür,
fenêtre,Fenster,
table,Tisch,
chaise,Stuhl,
lit,Bett,
cuisine,Küche,
salle,Zimmer,
rue,Straße,
école,Schule,
bureau,Büro,
voiture,Auto,
train,Zug,
avion,Flugzeug,
aller,gehen,
venir,kommen,
faire,machen,
dire,sagen,
voir,sehen,
savoir,wissen,
pouvoir,können,
vouloir,wollen,
prendre,nehmen,
donner,geben,
mettre,stellen,
trouver,finden,
grand,groß,
petit,klein,
nouveau,neu,
bon,gut,
mauvais,schlecht,
beau,schön,
vieux,alt,
jeune,jung,
long,lang,
court,kurz,
haut,hoch,
bas,niedrig,
fort,stark,
faible,schwach,
facile,einfach,
difficile,schwer,
possible,möglich,
important,wichtig,
rouge,rot,
bleu,blau,
vert,grün,
jaune,gelb,
blanc,weiß,
noir,schwarz,
gris,grau,
un,eins,
deux,zwei,
trois,drei,
quatre,vier,
cinq,fünf,
six,sechs,
sept,sieben,
huit,acht,
neuf,neun,
dix,zehn,
lundi,Montag,
mardi,Dienstag,
mercredi,Mittwoch,
janvier,Januar,
février,Februar,
mars,März,
avril,April,
mai,Mai,
juin,Juni,
juillet,Juli,
août,August,
septembre,September,
octobre,Oktober,
novembre,November,
décembre,Dezember,
merci,danke,
s'il vous plaît,bitte,
bonjour,Guten Tag,
au revoir,auf Wiedersehen,
oui,ja,
non,nein,
le,der,
la,die,
les,die,
un,ein,
une,eine,
et,und,
être,sein,
avoir,haben,
de,von,
à,zu,
en,in,
que,dass,
qui,wer,
ce,dieser,
dans,in,
du,von,
je,ich,
il,er,
elle,sie,
on,man,
nous,wir,
vous,Sie,
ils,sie,
leur,ihr,
pas,nicht,
plus,mehr,
tout,alles,
aussi,auch,
bien,gut,
très,sehr,
donc,also,
comme,wie,
mais,aber,
ou,oder,
si,wenn,
par,durch,
pour,für,
avec,mit,
sans,ohne,
sur,auf,
sous,unter,
avant,vorher,
après,nach,
entre,zwischen,
chez,bei,
homme,Mann,
